,,Location,
OLANZAPINE 5 MG DISINTEGRATING TABLET,PHRM,,
OLANZAPINE 5 MG TABLET,PHRM,,
OLANZAPINE 7.5 MG TABLET,STR,,
OLOPATADINE 0.1 % EYE DROPS,STR,,
OMALIZUMAB 150 MG SUBCUTANEOUS SOLUTION,STR,,
OMALIZUMAB 150 MG/ML SUBCUTANEOUS SYRINGE,STR,,
ONABOTULINUMTOXINA 100 UNIT SOLUTION FOR INJECTION,STR,,
ONDANSETRON 4 MG DISINTEGRATING TABLET,PHRM,,
ONDANSETRON 8 MG IN D5W 50 ML PYXIS MINIBAG,STR,,
ONDANSETRON HCL (PF) 4 MG/2 ML INJECTION SOLUTION,,PHRM,Pharmacy - Back/ Lower Half - I section
ONDANSETRON HCL 4 MG TABLET,PHRM,,
ONDANSETRON HCL 4 MG/5 ML ORAL SOLUTION,STR,,
ONDANSETRON IVPB,STR,,
OPICAPONE 50 MG CAPSULE,STR,,
OPIUM TINCTURE 10 MG/ML (MORPHINE) ORAL,VAULT,,
OSELTAMIVIR 30 MG CAPSULE,PYXSIS,,
OSELTAMIVIR 6 MG/ML ORAL SUSPENSION,STR,,
OSELTAMIVIR 75 MG CAPSULE,PYXSIS,,
OSIMERTINIB 40 MG TABLET,STR,,
OSIMERTINIB 80 MG TABLET,STR,,
OXALIPLATIN INFUSION,STR,,
OXCARBAZEPINE 150 MG TABLET,STR,,
OXCARBAZEPINE 300 MG TABLET,STR,,
OXCARBAZEPINE 300 MG/5 ML (60 MG/ML) ORAL SUSPENSION,STR,,
OXYBUTYNIN CHLORIDE 5 MG TABLET,STR,,
"OXYBUTYNIN CHLORIDE ER 10 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
"OXYBUTYNIN CHLORIDE ER 15 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
"OXYBUTYNIN CHLORIDE ER 5 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
OXYCODONE 10 MG TABLET,VAULT,,
OXYCODONE 15 MG TABLET,VAULT,,
OXYCODONE 2.5 MG HALF TABLET,VAULT,,
OXYCODONE 20 MG TABLET,VAULT,,
OXYCODONE 30 MG TABLET,VAULT,,
OXYCODONE 5 MG TABLET,,VLT,Vault
"OXYCODONE ER 10 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",STR,,,
"OXYCODONE ER 20 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",STR,,,
"OXYCODONE ER 40 MG TABLET,CRUSH RESISTANT,EXTENDED RELEASE 12 HR",STR,,,
OXYCODONE-ACETAMINOPHEN 2.5 MG-325 MG TABLET,VAULT,,
OXYCODONE-ACETAMINOPHEN 5 MG-325 MG TABLET,VAULT,,
OXYMETAZOLINE 0.05 % NASAL SPRAY,STR,,,
OXYTOCIN 10 UNIT/ML INJECTION SOLUTION,STR,,,
OXYTOCIN 30 UNIT/500 ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS,STR,,,
PACLITAXEL INFUSION,STR,,,
PACLITAXEL-PROTEIN BOUND CHEMO INFUSION,STR,,,
"PALIPERIDONE ER 3 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
"PALIPERIDONE ER 6 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
"PALIPERIDONE ER 9 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
PALIPERIDONE PALMITATE (3 MONTH) 410 MG/1.32 ML INTRAMUSCULAR SYRINGE,STR,,,
PALIPERIDONE PALMITATE (3 MONTH) 546 MG/1.75 ML INTRAMUSCULAR SYRINGE,STR,,,
PALIPERIDONE PALMITATE (3 MONTH) 819 MG/2.63 ML INTRAMUSCULAR SYRINGE,STR,,,
PALIPERIDONE PALMITATE 117 MG/0.75 ML INTRAMUSCULAR SYRINGE,STR,,,
PALIPERIDONE PALMITATE 156 MG/ML INTRAMUSCULAR SYRINGE,STR,,,
PALIPERIDONE PALMITATE 234 MG/1.5 ML INTRAMUSCULAR SYRINGE,STR,,,
PALIPERIDONE PALMITATE 39 MG/0.25 ML INTRAMUSCULAR SYRINGE,STR,,,
PALIPERIDONE PALMITATE 78 MG/0.5 ML INTRAMUSCULAR SYRINGE,STR,,,
PALONOSETRON 0.25 MG/5 ML INTRAVENOUS SOLUTION,STR,,,
PAMIDRONATE INFUSION,STR,,,
"PANTOPRAZOLE 20 MG TABLET,DELAYED RELEASE",PHRM,,
PANTOPRAZOLE 40 MG VIAL,IV,,
"PANTOPRAZOLE 40 MG TABLET,DELAYED RELEASE",PHARM,PHRM,Pharmacy Front - P
PANTOPRAZOLE 80 MG/100 ML NS INFUSION,STR,,,
PAPAVERINE 30 MG/ML INJECTION SOLUTION,PHARM,,
PARICALCITOL 5 MCG/ML INTRAVENOUS SOLUTION,STR,,,
PARICALCITOL 5 MCG/ML SOLUTION FOR HEMODIALYSIS PORT INJECTION,STR,,,
PAROXETINE 10 MG TABLET,STR,,
PAROXETINE 20 MG TABLET,STR,,
PAROXETINE 30 MG TABLET,STR,,
PAROXETINE 40 MG TABLET,STR,,
PEG 3350-ELECTROLYTES 236 GRAM-22.74 GRAM-6.74 GRAM-5.86 GRAM SOLUTION,STR,,,
PEG 400-PROPYLENE GLYCOL 0.4 %-0.3 % EYE DROPS,STR,,,
PEG3350 100 GRAM-SOD SULF 7.5 GRAM-NACL-KCL-ASCORBATE-C ORAL PWDR PACK,STR,,,
PEGFILGRASTIM 6 MG/0.6 ML (DELIVERABLE) WEARABLE SUBCUTANEOUS INJECTOR,STR,,,
PEGFILGRASTIM 6 MG/0.6 ML SUBCUTANEOUS SYRINGE,STR,,,
PEGFILGRASTIM-CBQV 6 MG/0.6 ML (DELIVERABLE) WEARABLE SUBCUT INJECTOR,STR,,,
PEGLOTICASE IVPB,STR,,,
PEMBROLIZUMAB CHEMO INFUSION,STR,,,
PEMETREXED INFUSION,STR,,,
"PENICILLIN G BENZATHINE 1,200,000 UNIT/2 ML INTRAMUSCULAR SYRINGE",STR,,
"PENICILLIN G BENZATHINE 2,400,000 UNIT/4 ML INTRAMUSCULAR SYRINGE",STR,,
"PENICILLIN G BENZATHINE 600,000 UNIT/ML INTRAMUSCULAR SYRINGE",STR,,
PENICILLIN G POTASSIUM IN 100 ML D5W IVPB,STR,,,
PENICILLIN G POTASSIUM IN 50 ML D5W IVPB,STR,,,
PENICILLIN G SODIUM <5 MILLION UNITS IVPB,STR,,
PENICILLIN V POTASSIUM 250 MG TABLET,STR,,
"PENTOXIFYLLINE ER 400 MG TABLET,EXTENDED RELEASE",STR,,
PEP KIT - 7 DAY,VIT,,
PERAMPANEL 10 MG TABLET,STR,,,
PERAMPANEL 2 MG TABLET,STR,,,
PERAMPANEL 8 MG TABLET,STR,,,
PERFLUTREN LIPID MICROSPHERES 1.1 MG/ML INTRAVENOUS SUSPENSION,STR,,
PERFLUTREN PROTEIN-TYPE A MICROSPHERES 0.22 MG/ML INTRAVENOUS SUSP,STR,,
PERIPHERAL PARENTERAL NUTRITION PPN SLW,STR,,,
PERMETHRIN 1 % TOPICAL LIQUID,STR,,,
PERMETHRIN 5 % TOPICAL CREAM,STR,,,
PERPHENAZINE 16 MG TABLET,STR,,,
PERPHENAZINE 2 MG TABLET,STR,,,
PERPHENAZINE 4 MG TABLET,STR,,,
PERPHENAZINE 8 MG TABLET,STR,,
PHENAZOPYRIDINE 100 MG TABLET,STR,,,
PHENAZOPYRIDINE 200 MG TABLET,STR,,,
PHENELZINE 15 MG TABLET,STR,,
PHENOBARBITAL 32.4 MG TABLET,STR,,
PHENOBARBITAL SODIUM 65 MG/ML INJECTION SOLUTION,STR,,
PHENOBARBITAL SODIUM IVPB,STR,,
PHENOL 1.4 % MUCOSAL AEROSOL SPRAY,STR,,
PHENTOLAMINE 5 MG INJECTION SOLUTION VIAL,STR,,
PHENYLEPHRINE 0.25 %-MINERAL OIL 14 %-PETROLATM 74.9 % RECTAL OINTMENT,STR,,
PHENYLEPHRINE 1 MG/10 ML (100 MCG/ML) IN 0.9 % SOD.CHLORIDE IV SYRINGE,IV,,,
PHENYLEPHRINE 10 % EYE DROPS,STR,,
PHENYLEPHRINE 10 MG IN NS 50 ML IVPB PYXIS MINIBAG,IV,,
PHENYLEPHRINE 10 MG/ML INJECTION SOLUTION,IV,,,
PHENYLEPHRINE 20 MG/250 ML (80 MCG/ML) IN 0.9 % SODIUM CHLORIDE IV,IV,,,
PHENYLEPHRINE 20 MG/250 ML (80 MCG/ML) IN 0.9 % SODIUM CHLORIDE IV (ANESTHESIA),IV,,,
PHENYLEPHRINE 50 MG IN NS 250 ML IVPB PYXIS MINIBAG,STR,,,
PHENYLEPHRINE IV BOLUS,STR,,,
PHENYLEPHRINE IV INFUSION ADULT (NON-STANDARD),STR,,,
PHENYTOIN 100 MG/4 ML ORAL SUSPENSION,STR,,,
PHENYTOIN 50 MG CHEWABLE TABLET,STR,,,
PHENYTOIN IVPB (15 MINUTES),STR,,,
PHENYTOIN IVPB (30 MINUTES),STR,,,
PHENYTOIN SODIUM EXTENDED 100 MG CAPSULE,STR,,,
PHYTONADIONE (VITAMIN K1) 10 MG/ML INJECTION SOLUTION,STR,,,
PHYTONADIONE (VITAMIN K1) 5 MG TABLET,STR,,,
PHYTONADIONE IVPB SLW,STR,,,
PILOCARPINE 1 % EYE DROPS,STR,,
PILOCARPINE 2 % EYE DROPS,STR,,
PILOCARPINE 4 % EYE DROPS,STR,,
PIMAVANSERIN 34 MG CAPSULE,STR,,
PIOGLITAZONE 15 MG TABLET,STR,,
PIPERACILLIN-TAZOBACTAM 13.5 G/240 ML NS ELASTOMERIC,STR,,,
PIPERACILLIN-TAZOBACTAM 2.25 GRAM INTRAVENOUS SOLUTION,STR,,,
PIPERACILLIN-TAZOBACTAM IN NS 4.5 G IVPB,IV,,
PNEUMOCOCCAL 20-VALENT CONJ VACCINE-DIP CRM (PF) 0.5 ML IM SYRINGE,PHRM,,
PNEUMOCOCCAL 21-VALENT CONJ VACCINE-DIP CRM (PF) 0.5 ML IM SYRINGE,PHRM,,
PNEUMOCOCCAL 23 POLYVALENT VACCINE 25 MCG/0.5 ML INJECTION SYRINGE,PHRM,,
POLYETHYLENE GLYCOL 3350 (MIRALAX) 17 GRAM ORAL POWDER PACKET,PHRM,Pharmacy - Front/ Lower Half - G section
"POSACONAZOLE 100 MG TABLET,DELAYED RELEASE",STR,,
POTASSIUM PHOSPHATE IN NS 15 MMOL,IV,,
POTASSIUM PHOSPHATE IN NORMAL SALINE 15 MMOL,IV,,
POTASSIUM CHLORIDE 10 MEQ/100ML IN STERILE WATER INTRAVENOUS PIGGYBACK,IV,,
POTASSIUM CHLORIDE 10 MEQ/50 ML IN STERILE WATER INTRAVENOUS PIGGYBACK,IV,,
POTASSIUM CHLORIDE 20 MEQ ORAL PACKET,,PHRM,
POTASSIUM CHLORIDE 20 MEQ/50 ML IN STERILE WATER INTRAVENOUS PIGGYBACK,IV,,
POTASSIUM CHLORIDE 20 MEQ/L IN 0.45 % SODIUM CHLORIDE INTRAVENOUS SOLN,IV,,
POTASSIUM CHLORIDE 20 MEQ/L IN 0.9 % SODIUM CHLORIDE INTRAVENOUS,IV,,
POTASSIUM CHLORIDE 20 MEQ/L IN 5 % DEXTROSE INTRAVENOUS SOLUTION,IV,,
POTASSIUM CHLORIDE 20 MEQ/L IN D5-0.9 % SODIUM CHLORIDE INTRAVENOUS,IV,,
POTASSIUM CHLORIDE 20 MEQ/L IN DEXTROSE 5 %-0.45 % SODIUM CHLORIDE IV,IV,,
POTASSIUM CHLORIDE 40 MEQ/L IN 0.9 % SODIUM CHLORIDE INTRAVENOUS,STR,,
POTASSIUM CHLORIDE 40 MEQ/L IN D5-0.9 % SODIUM CHLORIDE INTRAVENOUS,STR,,
POTASSIUM CHLORIDE 40 MEQ/L IN DEXTROSE 5 %-0.45 % SODIUM CHLORIDE IV,STR,,
POTASSIUM CHLORIDE ER 10 MEQ TABLET EXTENDED RELEASE(PART/CRYST)",STR,,
POTASSIUM CHLORIDE ER 20 MEQ TABLET EXTENDED RELEASE(PART/CRYST)",STR,,
POTASSIUM CITRATE ER 10 MEQ (1080 MG) TABLET EXTENDED RELEASE",STR,,
POTASSIUM PHOSPHATE 15 MMOL IN 250 ML NS IVPB MINIBAG,IV,,
POTASSIUM PHOSPHATE 15 MMOL/250 ML IN 0.9 % SODIUM CHLORIDE IV SOLN,IV,,
POTASSIUM PHOSPHATE INFUSION,IV,,
POTASSIUM PHOSPHATE IVPB (CONCENTRATED),IV,,
"POTASSIUM, SODIUM PHOSPHATES 280 MG-160 MG-250 MG ORAL POWDER PACKET",PHARM,,
POVIDONE-IODINE 10 % TOPICAL OINTMENT,STR,,
POVIDONE-IODINE 10 % TOPICAL SWAB,STR,,
PRAMIPEXOLE 0.125 MG TABLET,STR,,
PRAMIPEXOLE 0.25 MG TABLET,STR,,
PRAMIPEXOLE 0.5 MG TABLET,STR,,
PRAMIPEXOLE 1 MG TABLET,STR,,
PRASUGREL HCL 10 MG TABLET,STR,,
PRASUGREL HCL 5 MG TABLET,STR,,
PRAVASTATIN 10 MG TABLET,STR,,
PRAVASTATIN 20 MG TABLET,STR,,
PRAVASTATIN 40 MG TABLET,STR,,
PRAZOSIN 1 MG CAPSULE,STR,,
PRAZOSIN 2 MG CAPSULE,STR,,
PRAZOSIN 5 MG CAPSULE,STR,,
PREDNISOLONE 15 MG/5 ML ORAL SOLUTION,STR,,
"PREDNISOLONE ACETATE 1 % EYE DROPS,SUSPENSION",STR,,
PREDNISOLONE SODIUM PHOSPHATE 15 MG/5 ML (3 MG/ML) ORAL SOLUTION,STR,,
PREDNISOLONE SODIUM PHOSPHATE 15 MG/5 ML (5 ML) ORAL SOLUTION,STR,,
PREDNISONE 1 MG TABLET,STR,,
PREDNISONE 10 MG TABLET,PHRM,,
PREDNISONE 2.5 MG TABLET,STR,,
PREDNISONE 20 MG TABLET,PHRM,,
PREDNISONE 5 MG TABLET,PHRM,,
PREDNISONE 50 MG TABLET,STR,,
PREGABALIN 100 MG CAPSULE,VAULT,,
PREGABALIN 200 MG CAPSULE,VAULT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,
PREGABALIN 25 MG CAPSULE,VAULT,,
PREGABALIN 50 MG CAPSULE,VAULT,,
PREGABALIN 75 MG CAPSULE,VAULT,,
PRENATAL VIT 83-IRON 30 MG-IRON A-GLY 20 MG IRON-FOLIC AC 1 MG TABLET,VIT,,
"PRENATAL VIT,CALCIUM 27-FERVCROUS FUM 60 MG IRON-FOLIC ACID 1 MG TABLET",VIT,,
PRIMIDONE 250 MG TABLET,STR,,
PRIMIDONE 50 MG TABLET,STR,,
PROCAINAMIDE 100 MG/ML INJECTION SOLUTION,STR,,
PROCAINAMIDE LOADING DOSE (ADULT),STR,,
PROCHLORPERAZINE 25 MG RECTAL SUPPOSITORY,STR,,
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJECTION SOLUTION,STR,,
PROCHLORPERAZINE MALEATE 10 MG TABLET,STR,,
PROCHLORPERAZINE MALEATE 5 MG TABLET,STR,,
PROGESTERONE MICRONIZED 100 MG CAPSULE,STR,,
PROMETHAZINE 25 MG RECTAL SUPPOSITORY,STR,,
PROMETHAZINE 25 MG TABLET,STR,,
PROPOFOL 10 MG/ML INFUSION,KITCK,,
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION,,KITCK,KitCheck -Section
PROPOFOL INFUSION ANESTHESIA,STR,,
PROPRANOLOL 1 MG/ML INTRAVENOUS SOLUTION,STR,,
PROPRANOLOL 10 MG TABLET,STR,,
PROPRANOLOL 20 MG TABLET,STR,,
"PROPRANOLOL ER 120 MG CAPSULE,24 HR,EXTENDED RELEASE",STR,,
"PROPRANOLOL ER 60 MG CAPSULE,24 HR,EXTENDED RELEASE",STR,,
PROPYLTHIOURACIL 50 MG TABLET,STR,,
PROPYLTHIOURACIL INFUSION,STR,,
PROTAMINE 10 MG/ML INTRAVENOUS SOLUTION,STR,,
PROTAMINE IVPB,STR,,
PRUCALOPRIDE 2 MG TABLET,STR,,
PSEUDOEPHEDRINE 30 MG TABLET,STR,,
PSEUDOEPHEDRINE 60 MG TABLET,STR,,
PSYLLIUM HUSK (WITH SUGAR) 3.4 GRAM ORAL POWDER PACKET,PHRM,,
PSYLLIUM HUSK 3.4 GRAM ORAL POWDER PACKET,STR,,
PSYLLIUM HUSK 3.4 GRAM/5.8 GRAM ORAL POWDER,STR,,
PSYLLIUM HUSK 6 GRAM ORAL POWDER PACKET,STR,,
PSYLLIUM ORAL PACKET,STR,,
PYRAZINAMIDE 500 MG TABLET,STR,,
PYRIDOSTIGMINE BROMIDE 60 MG TABLET,PHRM,,
PYRIDOXINE (VITAMIN B6) 100 MG/ML INJECTION SOLUTION,VIT,,
PYRIDOXINE (VITAMIN B6) 25 MG TABLET,VIT,,
PYRIDOXINE (VITAMIN B6) 50 MG TABLET,VIT,,
PYRIMETHAMINE 25 MG TABLET,STR,,
QUETIAPINE 100 MG TABLET,PHRM,,
QUETIAPINE 12.5 MG HALF TABLET,PHRM,,
QUETIAPINE 200 MG TABLET,STR,,
QUETIAPINE 25 MG TABLET,PHRM,,
QUETIAPINE 300 MG TABLET,STR,,
QUETIAPINE 400 MG TABLET,STR,,
QUETIAPINE 50 MG TABLET,PHRM,,
"QUETIAPINE ER 150 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
"QUETIAPINE ER 200 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
"QUETIAPINE ER 300 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
"QUETIAPINE ER 400 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
"QUETIAPINE ER 50 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
RABIES IMMUNE GLOBULIN (PF) 150 UNIT/ML INTRAMUSCULAR SOLUTION,PHRM,FRIDGE,,
RABIES IMMUNE GLOBULIN (PF) 300 UNIT/ML INTRAMUSCULAR SOLUTION,PHRM,FRIDGE,,
"RABIES VACCINE, PURIFIED CHICKEN EMBRYO CELL (PF) 2.5 UNIT IM SUSP",PHRM,FRIDGE,,
RACEPINEPHRINE 2.25 % SOLUTION FOR NEBULIZATION,STR,,
RADIAL COCKTAIL,STR,,
RALTEGRAVIR 400 MG TABLET,VIT,,
RAMELTEON 8 MG TABLET,STR,,
RAMUCIRUMAB CHEMO INFUSION,STR,,
"RANOLAZINE ER 500 MG TABLET,EXTENDED RELEASE,12 HR",STR,,
RASAGILINE 1 MG TABLET,STR,,
RASBURICASE INFUSION,STR,,
RAVULIZUMAB-CWVZ 50 MG/ML IVPB,STR,,
REGADENOSON 0.4 MG/5 ML INTRAVENOUS SYRINGE,STR,,
RELUGOLIX 120 MG TABLET,STR,,
REMDESIVIR IVPB (LOADING DOSE),STR,,
REMDESIVIR IVPB (LOADING DOSE)(NO SUPPLEMENTAL O2),STR,,
REMDESIVIR IVPB (MAINTENANCE DOSE),STR,,
REMDESIVIR IVPB (MAINTENANCE DOSE) (DAY 6-10),STR,,
REMDESIVIR IVPB (MAINTENANCE DOSE)(DAY 2-3)(NO SUPPLEMENTAL O2),STR,,
REMDESIVIR IVPB (MAINTENANCE DOSE)(NO SUPPLEMENTAL O2),STR,,
REMIFENTANIL 1 MG INTRAVENOUS SOLUTION,STR,,
REMIFENTANIL 2 MG INTRAVENOUS SOLUTION,STR,,
REMIFENTANIL 2 MG INTRAVENOUS SOLUTION ANESTHESIA INFUSION,STR,,
RILONACEPT 220 MG SUBCUTANEOUS SOLUTION,STR,,
RILPIVIRINE HCL 25 MG TABLET,VIT,,
RIMEGEPANT 75 MG DISINTEGRATING TABLET,STR,,
RIOCIGUAT 0.5 MG TABLET,STR,,
RIOCIGUAT 2.5 MG TABLET,STR,,
RISANKIZUMAB-RZAA (SKYRIZI) INFUSION,STR,,
RISANKIZUMAB-RZAA (SKYRIZI) INFUSION IN 250 ML,STR,,
RISPERIDONE 0.25 MG TABLET,STR,,
RISPERIDONE 0.5 MG DISINTEGRATING TABLET,STR,,
RISPERIDONE 0.5 MG TABLET,PHRM,,
RISPERIDONE 1 MG DISINTEGRATING TABLET,PHRM,,
RISPERIDONE 1 MG TABLET,PHRM,,
RISPERIDONE 1 MG/ML ORAL SOLUTION,STR,,
RISPERIDONE 1 MG/ML ORAL SYRINGE  (FOR ORAL USE ONLY),STR,,
RISPERIDONE 2 MG DISINTEGRATING TABLET,STR,,
RISPERIDONE 2 MG TABLET,STR,,
RISPERIDONE 3 MG DISINTEGRATING TABLET,STR,,
RISPERIDONE 3 MG TABLET,STR,,
RISPERIDONE 4 MG TABLET,STR,,
RITONAVIR 100 MG TABLET,VIT,,
RITUXIMAB 4 MG/ML INFUSION (FOR NON-ONCOLOGY INDICATIONS),STR,,
RITUXIMAB-ABBS 4 MG/ML INFUSION (FOR NON-ONCOLOGY INDICATIONS),STR,,
RITUXIMAB-ABBS CHEMO INFUSION,STR,,
RITUXIMAB-PVVR 4 MG/ML INFUSION (FOR NON-ONCOLOGY INDICATIONS),STR,,
RIVAROXABAN 10 MG TABLET,STR,,
RIVAROXABAN 15 MG TABLET,PHRM,,
RIVAROXABAN 2.5 MG TABLET,STR,,
RIVAROXABAN 20 MG TABLET,PHRM,,
RIVASTIGMINE 13.3 MG/24 HOUR TRANSDERMAL PATCH,STR,,
RIVASTIGMINE 4.6 MG/24 HOUR TRANSDERMAL PATCH,STR,,
RIVASTIGMINE 9.5 MG/24 HOUR TRANSDERMAL PATCH,STR,,
ROCURONIUM 10 MG/ML INTRAVENOUS SOLUTION,STR,,
ROFLUMILAST 500 MCG TABLET,STR,,
ROMIPLOSTIM 250 MCG INJECTION,STR,,
ROMIPLOSTIM 500 MCG INJECTION,STR,,
ROMIPLOSTIM 500 MCG/ML IN SWFI INJECTION,STR,,
ROMOSOZUMAB-AQQG 210 MG/2.34 ML(105 MG/1.17 ML X2)SUBCUTANEOUS SYRINGE,STR,,
ROPINIROLE 0.25 MG TABLET,STR,,
ROPINIROLE 0.5 MG TABLET,STR,,
ROPINIROLE 1 MG TABLET,STR,,
ROPINIROLE 2 MG TABLET,STR,,
ROPIVACAINE (PF) 10 MG/ML (1 %) INJECTION SOLUTION,STR,,
ROPIVACAINE (PF) 2 MG/ML (0.2 %) INJECTION SOLUTION,STR,,
ROPIVACAINE (PF) 5 MG/ML (0.5 %) INJECTION SOLUTION,STR,,
ROSUVASTATIN 10 MG TABLET,PHRM,,
ROSUVASTATIN 20 MG TABLET,PHRM,,
ROSUVASTATIN 5 MG TABLET,PHRM,,
ROTIGOTINE 2 MG/24 HOUR TRANSDERMAL 24 HOUR PATCH,STR,,
ROTIGOTINE 4 MG/24 HOUR TRANSDERMAL 24 HOUR PATCH,STR,,
RUBIDIUM RB-82 CHLORIDE INTRAVENOUS SOLUTION,STR,,
RUXOLITINIB 10 MG TABLET,STR,,
RUXOLITINIB 5 MG TABLET,STR,,
SACUBITRIL 24 MG-VALSARTAN 26 MG TABLET,PHRM,,
SACUBITRIL 49 MG-VALSARTAN 51 MG TABLET,PHRM,,
SACUBITRIL 97 MG-VALSARTAN 103 MG TABLET,PHRM,,i
SACUBITRIL-VALSARTAN 24 MG / 26 MG,PHRM,,
SACUBITRIL-VALSARTAN 49 MG / 51 MG,PHRM,,
SACUBITRIL-VALSARTAN 97 MG / 103 MG,PHRM,,
SACUBITRIL/VALSARTAN 24 MG / 26 MG,PHRM,,
SACUBITRIL/VALSARTAN 49 MG / 51 MG,PHRM,,
SACUBITRIL/VALSARTAN 97 MG / 103 MG,PHRM,
SAFINAMIDE 100 MG TABLET,STR,,
SALIVA STIMULANT COMBINATION NO.3 ORAL MUCOSAL SPRAY,STR,,
SALIVA STIMULANT COMBINATION NO.7 ORAL MUCOSAL GEL,STR,,
SCOPOLAMINE 1 MG OVER 3 DAYS TRANSDERMAL PATCH,STR,,
SCOPOLAMINE PATCH REMOVAL,STR,,
SECUKINUMAB (COSENTYX) INFUSION,STR,,
SELEGILINE 5 MG CAPSULE,STR,,
"SELEXIPAG 1,600 MCG TABLET",STR,,
SEMAGLUTIDE 2 MG/DOSE (8 MG/3 ML) SUBCUTANEOUS PEN INJECTOR,STR,,
SENNA LEAF EXTRACT 176 MG/5 ML ORAL SYRUP,STR,,
SENNA(SENEKOT) 8.6 MG TABLET,VIT,,Vitamin Section
SERTRALINE 100 MG TABLET,PHRM,,
SERTRALINE 20 MG/ML ORAL CONCENTRATE,STR,,
SERTRALINE 25 MG TABLET,PHRM,,
SERTRALINE 50 MG TABLET,PHRM,,
SEVELAMER CARBONATE 0.8 GRAM ORAL POWDER PACKET,VIT,,
SEVELAMER CARBONATE 2.4 GRAM ORAL POWDER PACKET,VIT,,
SEVELAMER CARBONATE 800 MG TABLET,PHRM,,
SILDENAFIL (PULMONARY HYPERTENSION) 20 MG TABLET,PYXIS,,
SILVER NITRATE APPLICATORS 75 %-25 % TOPICAL STICK,STR,,
SILVER SULFADIAZINE 1 % TOPICAL CREAM,STR,,
"SIMETHICONE 40 MG/0.6 ML ORAL DROPS,SUSPENSION",STR,,
SIMETHICONE 80 MG CHEWABLE TABLET,PHRM,,
SIROLIMUS 1 MG TABLET,PHRM,,
SITAGLIPTIN PHOSPHATE 100 MG TABLET,PHRM,,
SITAGLIPTIN PHOSPHATE 25 MG TABLET,PHRM,,
SITAGLIPTIN PHOSPHATE 50 MG TABLET,PHRM,,
SODIUM BICARBONATE + SODIUM CHLORIDE 0.9 % INFUSION FOR PERFUSION,STR,,
SODIUM BICARBONATE 1 MEQ/ML (8.4 %) INTRAVENOUS SOLUTION,STR,,
"SODIUM BICARBONATE 150 MEQ/1,000 ML IN DEXTROSE 5 % INTRAVENOUS",STR,,
SODIUM BICARBONATE 25 MEQ IN D5W 1000 ML FOR IMPELLA PURGE,STR,,
SODIUM BICARBONATE 325 MG TABLET,STR,,
SODIUM BICARBONATE 650 MG TABLET,PHRM,,
SODIUM BICARBONATE 8.4 % (1 MEQ/ML) INTRAVENOUS SYRINGE,STR,,
SODIUM BICARBONATE INFUSION,STR,,
SODIUM BICARBONATE INFUSION ML/KG/HR DOSING,STR,,
SODIUM CHLORIDE 0.45 % INTRAVENOUS SOLUTION,STR,,
SODIUM CHLORIDE 0.65 % NASAL SPRAY AEROSOL,STR,,
SODIUM CHLORIDE 0.9 % (FLUSH) INJECTION SYRINGE,STR,,
SODIUM CHLORIDE 0.9 % FOR NEBULIZATION,VIT,,
SODIUM CHLORIDE 0.9 % INJECTION SOLUTION,STR,,
SODIUM CHLORIDE 0.9 % INTRAVENOUS SOLUTION,STR,,
SODIUM CHLORIDE 0.9 % INTRAVENOUS SOLUTION (16822),STR,,
SODIUM CHLORIDE 0.9 % INTRAVENOUS SOLUTION (16822) FOR PCAS,STR,,
SODIUM CHLORIDE 0.9 % IRRIGATION SOLUTION,STR,,
SODIUM CHLORIDE 0.9 % IV BOLUS,,VIT,Store - Section - Zone -
"SODIUM CHLORIDE 1,000 MG SOLUBLE TABLET",STR,,
SODIUM CHLORIDE 2 % IVPB SLW,STR,,
SODIUM CHLORIDE 3 % FOR NEBULIZATION,STR,,
SODIUM CHLORIDE 3 % HYPERTONIC INTRAVENOUS INJECTION SOLUTION,STR,,
SODIUM CHLORIDE 3 % INTRAVENOUS INJECTION SOLUTION FOR BOLUS (20175),STR,,
SODIUM CHLORIDE 3 % IV BOLUS,STR,,
SODIUM CHLORIDE 3 % IV BOLUS (PEDS),STR,,
SODIUM CHLORIDE 4 MEQ/ML INTRAVENOUS SOLUTION,STR,,
SODIUM CHLORIDE 5 % EYE DROPS,STR,,
SODIUM CHLORIDE 7 % FOR NEBULIZATION,STR,,
SODIUM CHLORIDE-ALOE VERA NASAL GEL,STR,,
